class; mass_1_source ; mass_2_source ; redshift 
1; 35.60 ; 30.60 ; 0.09 
1; 23.20 ; 13.60 ; 0.21 
1; 13.70 ; 7.70 ; 0.09 
1; 30.80 ; 20.00 ; 0.20 
1; 11.00 ; 7.60 ; 0.07 
1; 50.20 ; 34.00 ; 0.49 
1; 35.00 ; 23.80 ; 0.20 
1; 30.60 ; 25.20 ; 0.12 
3; 1.46 ; 1.27 ; 0.01 
1; 35.40 ; 26.70 ; 0.21 
1; 39.50 ; 29.00 ; 0.35 
1; 24.60 ; 18.40 ; 0.29 
1; 30.10 ; 8.30 ; 0.15 
1; 34.70 ; 23.70 ; 0.59 
1; 47.50 ; 31.80 ; 0.71 
1; 41.30 ; 31.90 ; 0.49 
1; 40.50 ; 31.80 ; 0.39 
3; 2.00 ; 1.40 ; 0.03 
2; 5.70 ; 1.50 ; 0.08 
1; 43.30 ; 28.40 ; 0.27 
1; 23.30 ; 12.60 ; 0.27 
1; 35.70 ; 18.00 ; 0.37 
1; 39.00 ; 28.40 ; 0.67 
1; 37.40 ; 25.30 ; 0.34 
1; 66.00 ; 40.50 ; 0.44 
1; 95.30 ; 69.00 ; 0.64 
1; 42.20 ; 32.80 ; 0.24 
1; 36.50 ; 22.60 ; 0.44 
1; 69.10 ; 47.80 ; 0.47 
1; 57.10 ; 35.50 ; 0.49 
1; 35.10 ; 23.70 ; 0.18 
1; 53.90 ; 40.80 ; 0.37 
1; 67.00 ; 38.20 ; 0.71 
1; 11.60 ; 8.40 ; 0.16 
1; 17.60 ; 13.20 ; 0.18 
1; 36.50 ; 20.80 ; 0.64 
1; 13.40 ; 7.80 ; 0.16 
1; 38.00 ; 29.40 ; 0.55 
1; 12.30 ; 8.10 ; 0.18 
1; 41.50 ; 28.80 ; 0.55 
1; 37.30 ; 27.30 ; 0.55 
2; 23.20 ; 2.59 ; 0.05 
1; 32.10 ; 26.20 ; 0.38 
1; 24.10 ; 10.20 ; 0.30 
1; 45.80 ; 28.30 ; 0.62 
1; 43.90 ; 35.60 ; 0.28 
1; 35.30 ; 24.40 ; 0.30 
1; 8.90 ; 5.00 ; 0.12 
1; 80.80 ; 24.10 ; 0.38 
1; 12.30 ; 7.80 ; 0.15 
2; 8.90 ; 1.90 ; 0.06 
2; 5.70 ; 1.50 ; 0.07 
;;;
